"School group","School name","Funder"
"Swansea/Abertawe","Townhill Community Primary School","Swansea Council"
"Swansea/Abertawe","Trallwn Primary School",
"Swansea/Abertawe","Tre Uchaf Primary School",
"Swansea/Abertawe","Waun Wen Primary School","Swansea Council"
"Swansea/Abertawe","Waunarlwydd Primary School","Swansea Council"
"Swansea/Abertawe","Whitestone Primary School","Swansea Council"
"Swansea/Abertawe","YGG Llwynderw",
"Swansea/Abertawe","YGG Y Login Fach","Swansea Council"
"Swansea/Abertawe","Ynystawe Primary School","Swansea Council"
"Swansea/Abertawe","Ysgol Crug Glas","Swansea Council"
"Swansea/Abertawe","Ysgol Gyfun Gŵyr","Swansea Council"
"Swansea/Abertawe","Ysgol Gyfun Gymraeg Bryn Tawe","Swansea Council"
"Swansea/Abertawe","Ysgol Gymraeg Bryn y Mor","Swansea Council"
"Swansea/Abertawe","Ysgol Gymraeg Lon Las","Swansea Council"
"Swansea/Abertawe","Ysgol Gymraeg Pontybrenin","School self funding"
"Swansea/Abertawe","Ysgol Gymraeg Y Cwm","Swansea Council"
"Swansea/Abertawe","Ysgol Gynradd Gymraeg Bryniago",
"Swansea/Abertawe","Ysgol Gynradd Gymraeg Gellionnen","Swansea Council"
"Swansea/Abertawe","Ysgol Gynradd Gymraeg Tan-y-lan","Swansea Council"
"Swansea/Abertawe","Ysgol Gynradd Gymraeg Tirdeunaw","Swansea Council"
"Swansea/Abertawe","Ysgol Pen y Bryn","Swansea Council"
"TEAM Education Trust","Model Village Primary School","Pending data"
"TEAM Education Trust","Stubbin Wood and Woodhoots Nursery","Drax"
"TEAM Education Trust","Stubbin Wood School and Shirebrook Academy","Drax"
"TEAM Education Trust","Whaley Thorns Primary School and Nursery","Pending data"
"Tees Valley Collaborative Trust","Bishopton Centre",
"Tees Valley Collaborative Trust","Errington Primary",
"Tees Valley Collaborative Trust","Prior Pursglove College",
"Tees Valley Collaborative Trust","Stockton Sixth Form College",
"Telford and Wrekin","Hollinswood Primary School and Nursery","Postcode Local Trust"
"The Cam Academy Trust","Comberton Village College","Drax"
"The GORSE Academies Trust","Bardsey Primary School","MAT funding"
"The GORSE Academies Trust","Boston Spa Academy","Drax"
"The GORSE Academies Trust","Bruntcliffe Academy","Drax"
"The GORSE Academies Trust","Hillcrest Academy","Drax"
"The GORSE Academies Trust","Morley Newlands Academy","Drax"
"The GORSE Academies Trust","Richmond Hill Academy","Drax"
"The GORSE Academies Trust","Ryecroft Academy","Drax"
"The GORSE Academies Trust","The Farnley Academy","Drax"
"The GORSE Academies Trust","The Morley Academy","Drax"
"The GORSE Academies Trust","The Ruth Gorse Academy","Drax"
"The GORSE Academies Trust","The Stephen Longfellow Academy","Drax"
"The Partnership Trust","Abbot Alphege Academy","Postcode Local Trust"
"The Partnership Trust","Cameley C of E Primary School","OVO Foundation"
"The Partnership Trust","Castle Primary School","Postcode Local Trust"
"The Partnership Trust","Fosse Way School","Postcode Local Trust"
"The Partnership Trust","Hayesdown First School","OVO Foundation"
"The Partnership Trust","Marksbury C of E Primary School","OVO Foundation"
"The Partnership Trust","Pensford Primary School","OVO Foundation"
"The Partnership Trust","Roundhill Primary School","Postcode Local Trust"
"The Partnership Trust","The Mendip School","Postcode Local Trust"
"The Partnership Trust","Weston All Saints Primary School","OVO Foundation"
"The Priory Learning Trust","Berrow Primary Church Academy","Pending data"
"The Priory Learning Trust","East Huntspill Primary Academy","Postcode Local Trust"
"The Priory Learning Trust","Pawlett Primary School Academy","Postcode Local Trust"
"The Priory Learning Trust","Priory Community School Academy","MAT funding"
"The Priory Learning Trust","St Anne's Church Academy - West Wick Site","MAT funding"
"The Priory Learning Trust","The King Alfred School","MAT funding"
"The Priory Learning Trust","West Huntspill Primary Academy","Postcode Local Trust"
"The Priory Learning Trust","Worle Community School","MAT funding"
"Tower Hamlets","Harry Gosling Primary School","OVO Foundation"
"Trafford","Saint Ambrose College",
"United Learning","Abbey Hey Primary Academy",
"United Learning","Accrington Academy","School self funding"
"United Learning","Avonbourne Boys' Academy","OVO Foundation"
"United Learning","Avonbourne Girls' Academy","OVO Foundation"
"United Learning","Avonwood Primary School","OVO Foundation"
"United Learning","Barnsley Academy","Drax"
"United Learning","Cravenwood Primary Academy",
"United Learning","Glenmoor Academy","OVO Foundation"
"United Learning","Hill View Primary School",
"United Learning","Longshaw Primary Academy","OVO Foundation"
"United Learning","Newstead Wood School","OVO Foundation"
"United Learning","Northampton Academy","Drax"
"United Learning","Richard Rose Central Academy",
"United Learning","Richard Rose Morton Academy",
"United Learning","Salford City Academy",
"United Learning","Salisbury Manor Primary School","OVO Foundation"
"United Learning","Sheffield Park Academy","Drax"
"United Learning","Sheffield Springs Academy","Drax"
"United Learning","Southway Primary School",
"United Learning","Stockport Academy",
"United Learning","Surbiton High School","School self funding"
"United Learning","Swindon Academy - Alton Close","Postcode Local Trust"
"United Learning","Swindon Academy - Beech Avenue","Postcode Local Trust"
"United Learning","The Albion Academy",
"United Learning","The Cornerstone Academy","Postcode Local Trust"
"United Learning","The Hurlingham Academy","OVO Foundation"
"United Learning","The Hyndburn Academy",
"United Learning","The Regis School","School self funding"
"United Learning","The Regis School - Arena Sports Centre & Swimming Pool","School self funding"
"United Learning","Walthamstow Primary Academy","OVO Foundation"
"United Learning","Whittingham Primary Academy","OVO Foundation"
"United Learning","Winston Way Academy","OVO Foundation"
"United Learning","Winton Academy","OVO Foundation"
"United Learning","Wye School",
"Unity Schools Partnership","Abbots Green Academy","Drax"
"Unity Schools Partnership","Breckland School","Drax"
"Unity Schools Partnership","Burton End Primary Academy","Drax"
"Unity Schools Partnership","Castle Manor Academy","Drax"
"Unity Schools Partnership","Churchill Special School","Drax"
"Unity Schools Partnership","Clements Primary School","Drax"
"Unity Schools Partnership","County Upper School","MAT funding"
"Unity Schools Partnership","Coupals Primary Academy","Drax"
"Unity Schools Partnership","Ditton Lodge Primary School","Pending data"
"Unity Schools Partnership","Felixstowe School","Drax"
"Unity Schools Partnership","Glemsford Primary Academy","Drax"
"Unity Schools Partnership","Horringer Court Middle School",
"Unity Schools Partnership","Houldsworth Valley Primary Academy","Drax"
"Unity Schools Partnership","Kedington Primary Academy","Pending data"
"Unity Schools Partnership","Langer Primary Academy","Drax"
"Unity Schools Partnership","Laureate Community Academy","Drax"
"Unity Schools Partnership","Newmarket Academy","Drax"
"Unity Schools Partnership","Place Farm Academy","Drax"
"Unity Schools Partnership","Samuel Ward Academy","MAT funding"
"Unity Schools Partnership","Sir Bobby Robson School","Drax"
"Unity Schools Partnership","Sir Peter Hall Special School","Drax"
"Unity Schools Partnership","St. Edward’s Church of England Academy","MAT funding"
"Unity Schools Partnership","Steeple Bumpstead Primary School","Drax"
"Unity Schools Partnership","Sybil Andrews Academy","MAT funding"
"Unity Schools Partnership","The Bridge School","Drax"
"Unity Schools Partnership","Thomas Gainsborough School","Drax"
"Unity Schools Partnership","Tollgate Primary School","Drax"
"Unity Schools Partnership","Wells Hall Primary School","Drax"
"Unity Schools Partnership","West Row Academy","MAT funding"
"Unity Schools Partnership","Westfield Primary Academy","Drax"
"Unity Schools Partnership","Westley Middle School","Drax"
"Unity Schools Partnership","Wickhambrook Primary Academy","Drax"
"Unity Schools Partnership","Woodhall Primary School","Drax"
"Warwickshire","Whitestone Infant School","Waiting list for funding"
"Wensum Trust","Acle Academy","Drax"
"Wensum Trust","Alderman Peel High School","Drax"
"Wensum Trust","Arden Grove Infant and Nursery School","Drax"
"Wensum Trust","Burnham Market Primary School","Drax"
"Wensum Trust","Firside Junior School",
"Wensum Trust","Garrick Green Infant School","Drax"
"Wensum Trust","Heather Avenue Infant School","Drax"
"Wensum Trust","Hellesdon High School","Drax"
"Wensum Trust","Kinsale Junior School",
"Wensum Trust","Lodge Lane Infant School","Drax"
"Wensum Trust","Wells-next-the-Sea Primary and Nursery School","Drax"
"Wessex Multi-Academy Trust","Manor Park First School","Laser 50%"
"Wessex Multi-Academy Trust","Milborne St Andrew First School","Laser 50%"
"Wessex Multi-Academy Trust","Piddle Valley First School","Laser 50%"
"Wessex Multi-Academy Trust","Puddletown First School","Laser 50%"
"Wessex Multi-Academy Trust","St Mary's Middle School","Laser 50%"
"Wessex Multi-Academy Trust","Frome Valley First School","Laser 50%"
"Wessex Multi-Academy Trust","Bere Regis School","Laser 50%"
"Wessex Multi-Academy Trust","Damers First School","Laser 50%"
"Wessex Multi-Academy Trust","Dorchester Middle School","Laser 50%"
"Wessex Multi-Academy Trust","St Osmunds Middle School","Laser 50%"
"Wessex Multi-Academy Trust","The Purbeck School","Laser 50%"
"Wessex Multi-Academy Trust","The Thomas Hardye School","Laser 50%"
"Wickersley Partnership Trust","Aston Hall Primary School","Drax"
"Wickersley Partnership Trust","Aston Lodge Primary School","Drax"
"Wickersley Partnership Trust","Brinsworth Whitehill Primary School","MAT funding"
"Wickersley Partnership Trust","Clifton Community School","Drax"
"Wickersley Partnership Trust","Foljambe Primary School","Drax"
"Wickersley Partnership Trust","Monkwood Primary Academy","Drax"
"Wickersley Partnership Trust","Rawmarsh Ashwood Primary School","Drax"
"Wickersley Partnership Trust","Rawmarsh Community School","Drax"
"Wickersley Partnership Trust","Rawmarsh Sandhill Primary Academy","Drax"
"Wickersley Partnership Trust","The Gainsborough Academy","Pending data"
"Wickersley Partnership Trust","Thrybergh Academy","Drax"
"Wickersley Partnership Trust","Thrybergh Primary School","Drax"
"Wickersley Partnership Trust","Wickersley School and Sports College","MAT funding"
"Wiltshire","Alderbury & West Grimstead Primary School","OVO Foundation"
"Wiltshire","Bellefield Primary School","OVO Foundation"
"Wiltshire","Bratton Primary School","OVO Foundation"
"Wiltshire","Brinkworth Earl Danby's Primary School",
"Wiltshire","Broad Town Primary school",
"Wiltshire","Chapmanslade CE VA Primary School",
"Wiltshire","Colerne Primary School",
"Wiltshire","Collingbourne Primary School",
"Wiltshire","Crudwell Primary School","OVO Foundation"
"Wiltshire","Frogwell Primary School","Postcode Local Trust"
"Wiltshire","Hilperton Primary School","OVO Foundation"
"Wiltshire","Kington St Michael Primary School","OVO Foundation"
"Wiltshire","Lacock Primary School","OVO Foundation"
"Wiltshire","Langley Fitzurse Primary School","OVO Foundation"
"Wiltshire","Luckington Community School","OVO Foundation"
"Wiltshire","Lyneham Primary School","OVO Foundation"
"Wiltshire","Matravers School","OVO Foundation"
"Wiltshire","Mere Primary School","OVO Foundation"
"Wiltshire","Neston Primary School",
"Wiltshire","Sambourne Primary School","OVO Foundation"
"Wiltshire","St George's Catholic Primary School","OVO Foundation"
"Wiltshire","St John's Catholic Primary School, Trowbridge","OVO Foundation"
"Wiltshire","St Joseph's Catholic Primary School, Devizes","Postcode Local Trust"
"Wiltshire","St Joseph's Catholic Primary School, Malmesbury","OVO Foundation"
"Wiltshire","St Mary's Primary School, Purton","OVO Foundation"
"Wiltshire","St Michael's Primary School, Aldbourne","OVO Foundation"
"Wiltshire","Stanton St Quintin Primary & Nursery School","OVO Foundation"
"Wiltshire","Staverton Primary School","OVO Foundation"
"Wiltshire","Urchfont Primary School","OVO Foundation"
"Wiltshire","Walwayne Court Primary School","OVO Foundation"
"Wiltshire","Wardour Catholic Primary School",
"Wiltshire","Westbury Leigh Primary School","OVO Foundation"
"Windsor and Maidenhead","Cox Green School","Elbow Beach"
"Windsor and Maidenhead","Furze Platt Senior School",
"Windsor and Maidenhead","Kings Court First School",
"Windsor and Maidenhead","Queen Anne Royal Free C of E First School",
"Wirral","South Wirral High School",
